Rateplan_Type,Vendor,Rateplan_Name,Recurring_Fee,OneOff_Fee,Data_Limit,Recommendation,Internet_Info,EU-Roaming_Info,Telephony_SMS_MMS_Info,Running_Time_Info,Notice_period_Info,Auto_Renewal_Info,URL_Link
prepaid,vodafone,CallYa Allnet Flat,"24,44","0,00",5 GB,4,5 GB  LTE data volume with a clock rate of 10 kB.,"Data flat, Telephone flat and SMS flat",Telephone flat rate: 0 ct/min in all German networks SMS flat: 0ct / SMS in all German networks 39 ct / MMS in all German networks,28 days,1 day at the end of the minimum term,28 days,https://bit.ly/35Og6o8
contract,vodafone,Allnet Flat 15 GB LTE,"20,99","4,99",15 GB,5,15 GB LTE data volume with a clocking of 100 kB.,"Data flat, Telephone flat and SMS flat",Telephone flat rate: 0 ct/min in all German networks SMS flat: 0ct / SMS in all German networks 39 ct / MMS in all German networks,24 months,3 months to the end of the minimum term,12 Months,https://bit.ly/2WOsErw
prepaid,vodafone,CallYa Talk & SMS,"3,25","0,00",400 MB,4,400 MB LTE data volume with a clocking of 10 kB.,9ct/min and 9ct/SMS,9 ct / min in all German networks 9 ct/SMS in all German networks 39 ct/MMS in all German networks,28 days,1 day at the end of the minimum term,28 days,https://bit.ly/2WjpX1R
prepaid,vodafone,CallYa Flex,"5,42","0,00",1 GB,4,1 GB LTE data volume with a clocking of 10 kB.,"50 min/SMS units, Minutes and SMS from Germany to other EU countries can be used","50 min/SMS units included, then 9 ct/min and 9 ct/SMS in all German networks 39 ct/MMS in all German networks",28 days,1 day at the end of the minimum term,28 days,https://bit.ly/3ckdGA1
prepaid,vodafone,CallYa smartphone special,"10,85","0,00",2.5 GB,4,2.5 GB LTE data volume with a clock rate of 10 kB.,200 min / SMS units,"200 min/SMS units included, then 9 ct / min and 9 ct / SMS in all German networks 39 ct / MMS in all German networks",28 days,1 day at the end of the minimum term,28 days,https://bit.ly/2WhAkU0
contract,O2,Free M Flex,"19,99","39,99",20 GB,4,20 GB LTE data volume with a clocking of 10 kB.,Data flat and Telephone flat and SMS flat,Telephone flat rate: 0 ct/min in all German networks SMS flat: 0ct / SMS in all German networks 39 ct / MMS in all German networks,1 month,30 days to the end of the minimum term,1 month,https://bit.ly/2WI7Vp5
contract,O2,Free S Flex,"24,99","39,99",3 GB,4,3 GB LTE data volume with a clocking of 10 kB.,Data flat and Telephone flat and SMS flat,Telephone flat rate: 0 ct/min in all German networks SMS flat: 0ct / SMS in all German networks 39 ct / MMS in all German networks      ,1 month,4 weeks to the end of the minimum term,1 month,https://bit.ly/2yBkJWq
contract,O2,Free Unlimited Basic Flex,"34,99","39,99",unlimited,4,Unlimited LTE data volume with a clocking of 10 kB.,Data flat and Telephone flat and SMS flat,Telephone flat rate: 0 ct/min in all German networks SMS flat: 0ct / SMS in all German networks 39 ct / MMS in all German networks,1 month,30 days to the end of the minimum term,1 month,https://bit.ly/2WkaK0A
contract,O2,Free L Flex,"44,99","39,99",60 GB,3,60  LTE data volume with a clock rate of 10 kB.,Data flat and Telephone flat and SMS flat,Telephone flat rate: 0 ct/min in all German networks SMS flat: 0ct / SMS in all German networks 39 ct / MMS in all German networks,1 month,30 days to the end of the minimum term,1 month,https://bit.ly/35K3VZo
contract,O2,Free Unlimited Smart Flex,"44,99","39,99",unlimited,3,Unlimited LTE data volume with a clocking of 10 kB.,Data flat and Telephone flat and SMS flat,Telephone flat rate: 0 ct/min in all German networks SMS flat: 0ct / SMS in all German networks 39 ct / MMS in all German networks,1 month,30 days to the end of the minimum term,1 month,https://bit.ly/2zmNtCi
contract,O2,Free Unlimited Max Flex,"54,99","39,99",unlimited,3,Unlimited LTE data volume with a clocking of 10 kB.,Data flat and Telephone flat and SMS flat,Telephone flat rate: 0 ct/min in all German networks SMS flat: 0ct / SMS in all German networks 39 ct / MMS in all German networks,1 month,30 days to the end of the minimum term,1 month,https://bit.ly/2LcKLls
contract,O2,Free S ,"19,99","39,99",3 GB,3,3  LTE data volume with a clocking of 10 kB..,Data flat and Telephone flat and SMS flat,Telephone flat rate: 0 ct/min in all German networks SMS flat: 0ct / SMS in all German networks 39 ct / MMS in all German networks,24 months,3 months to the end of the minimum term,12 months,https://bit.ly/3bqYK1P
contract,vodafone,Red XS,"19,99","39,99",4 GB,4,4  LTE data volume with a clocking of 100 kB.,Data flat and Telephone flat and SMS flat,Telephone flat rate: 0 ct/min in all German networks SMS flat: 0ct / SMS in all German networks MMS flat rate: 0ct / MMS in all German networks,24 months,3 months to the end of the minimum term,12 months,https://bit.ly/3fBoNqd
contract,O2,Free S Boost,"24,99","39,99",6 GB,3,6  LTE data volume with a clocking of 10 kB.,Data flat and Telephone flat and SMS flat,Telephone flat rate: 0 ct/min in all German networks SMS flat: 0ct / SMS in all German networks 39 ct / MMS in all German networks,24 months,3 months to the end of the minimum term,12 months,https://bit.ly/2Lk1Cm8
contract,vodafone,Red S ,"29,99","39,99",10 GB,4,10  LTE data volume with a clocking of 100 kB.,Data flat and Telephone flat and SMS flat,Telephone flat rate: 0 ct/min in all German networks SMS flat: 0ct / SMS in all German networks MMS flat rate: 0ct / MMS in all German networks,24 months,3 months to the end of the minimum term,12 months,https://bit.ly/2SST7Tn
contract,O2,Flat M,"29,,99","39,99",20 GB,4,20  LTE data volume with a clocking of 10 kB.,Data flat and Telephone flat and SMS flat,Telephone flat rate: 0 ct/min in all German networks SMS flat: 0ct / SMS in all German networks 39 ct / MMS in all German networks,24 months,3 months to the end of the minimum term,12 months,https://bit.ly/3dJsg4r
contract,O2,Free Unlimited Basic ,"29,99","39,99",unlimited,4,Unlimited LTE data volume with a clocking of 10 kB.,Data flat and Telephone flat and SMS flat,Telephone flat rate: 0 ct/min in all German networks SMS flat: 0ct / SMS in all German networks 39 ct / MMS in all German networks,24 months,3 months to the end of the minimum term,12 months,https://bit.ly/35P0oJ2
contract,O2,Free M Boost,"34,99","39,99",40 GB,4,40 GB LTE data volume with a clocking of 10 kB.,Data flat and Telephone flat and SMS flat,Telephone flat rate: 0 ct/min in all German networks SMS flat: 0ct / SMS in all German network 39 ct / MMS in all German networks,24 months,3 months to the end of the minimum term,12 months,https://bit.ly/3co52QM
contract,vodafone,Red M,"39,99","39,99",20 GB,4,20 GB LTE data volume with a clocking of 100 kB.,Data flat and Telephone flat and SMS flat,Telephone flat rate: 0 ct/min in all German networks SMS flat: 0ct / SMS in all German networks MMS flat rate: 0ct / MMS in all German networks,24 months,3 months to the end of the minimum term,12 months,https://bit.ly/3cm8zzc
